"rep","k","BIC"
1,2,229473.6047
1,3,228952.4557
1,4,225739.9535
1,5,226288.6702
1,6,226872.5572
1,7,227451.2305
1,8,228007.9524
1,9,228592.1171
1,10,229507.4142
2,2,228338.6955
2,3,227074.6038
2,4,224736.3278
2,5,225309.8267
2,6,225878.8323
2,7,226469.3671
2,8,227004.9245
2,9,227602.0929
2,10,228175.5771
3,2,236331.0024
3,3,235772.9299
3,4,232531.8722
3,5,233096.6843
3,6,233658.1373
3,7,234198.0468
3,8,235308.0767
3,9,235349.187
3,10,235940.537
4,2,230650.5374
4,3,229196.2777
4,4,226704.4121
4,5,227264.2724
4,6,228455.0497
4,7,228396.2479
4,8,228990.9096
4,9,229577.485
4,10,230150.1206
5,2,229800.5632
5,3,228445.2658
5,4,226179.2874
5,5,226737.3879
5,6,227324.4594
5,7,227895.5044
5,8,228486.813
5,9,229026.2849
5,10,229643.2713
6,2,232276.4391
6,3,231029.9519
6,4,228679.7467
6,5,229277.3164
6,6,230382.1568
6,7,230405.9652
6,8,230973.9489
6,9,231569.9187
6,10,232148.651
7,2,225425.1816
7,3,224077.5357
7,4,221640.8909
7,5,222217.3247
7,6,222761.2051
7,7,223335.2328
7,8,223955.1723
7,9,224533.1744
7,10,225063.6007
8,2,233043.0153
8,3,231820.5158
8,4,229278.6278
8,5,229862.8305
8,6,230411.2121
8,7,230997.0697
8,8,231542.6003
8,9,232123.6604
8,10,232708.0017
9,2,233991.2399
9,3,232656.7713
9,4,231260.5186
9,5,231046.7212
9,6,231620.5319
9,7,232215.7028
9,8,232764.9749
9,9,233742.3629
9,10,234333.247
10,2,231850.0474
10,3,229497.7709
10,4,227350.7515
10,5,227932.4931
10,6,228490.6159
10,7,229067.2686
10,8,229697.2854
10,9,230714.7938
10,10,231255.8475
11,2,232129.3281
11,3,229718.1113
11,4,227275.7741
11,5,227846.2899
11,6,228408.2962
11,7,229011.7475
11,8,229588.9107
11,9,230494.4172
11,10,231168.6944
12,2,236820.7508
12,3,235544.2184
12,4,233188.2273
12,5,233747.2915
12,6,234318.3568
