"rep","k","BIC"
1,2,186300.8026
1,3,183099.3005
1,4,181143.7851
1,5,180219.1438
1,6,180778.8778
1,7,181448.5045
1,8,181879.6532
1,9,182440.9117
1,10,183039.5126
2,2,183565.5292
2,3,180252.8835
2,4,178530.1181
2,5,177731.4537
2,6,178305.7362
2,7,178882.8287
2,8,179431.8262
2,9,179984.1321
2,10,180652.5415
3,2,190054.8149
3,3,186873.1334
3,4,184815.4888
3,5,183906.9162
3,6,184459.7156
3,7,185017.3718
3,8,185591.374
3,9,186155.6587
3,10,186700.4988
4,2,186879.6382
4,3,183922.0053
4,4,182125.5089
4,5,181140.0893
4,6,181689.3049
4,7,182244.7899
4,8,182796.2021
4,9,183352.0128
4,10,183937.8076
5,2,184703.7098
5,3,181624.6416
5,4,179587.0865
5,5,178622.256
5,6,179191.9262
5,7,179741.8164
5,8,180343.4034
5,9,180893.345
5,10,181445.4444
6,2,187191.8062
6,3,184253.233
6,4,183104.4143
6,5,182420.8592
6,6,182598.5627
6,7,183146.4442
6,8,183690.5932
6,9,184274.9761
6,10,184841.062
7,2,182506.3517
7,3,178686.756
7,4,176717.1453
7,5,175799.9508
7,6,176416.2875
7,7,176917.7826
7,8,177510.4451
7,9,178090.5693
7,10,178649.6782
8,2,190706.4763
8,3,187008.4193
8,4,184940.1251
8,5,184335.2446
8,6,184893.7278
8,7,185451.8387
8,8,186022.0951
8,9,186576.9977
8,10,187134.4245
9,2,191194.1953
9,3,187907.163
9,4,186111.0369
9,5,185131.8082
9,6,186020.9794
9,7,186257.8622
9,8,186899.4907
9,9,187462.1536
9,10,187924.1442
10,2,186842.9621
10,3,184137.7467
10,4,182339.5894
10,5,181534.4063
10,6,182083.7837
10,7,182650.1168
10,8,183197.3263
10,9,183758.186
10,10,184332.4222
11,2,185722.0291
11,3,182475.1614
11,4,180852.3306
11,5,179746.8249
11,6,180305.4588
11,7,180859.7629
11,8,181432.6135
11,9,181975.2246
11,10,182538.9458
12,2,191909.3847
12,3,189005.9886
12,4,187051.0589
12,5,186036.2826
12,6,186595.9069
12,7,187133.4257
12,8,187711.4808
12,9,188343.079
12,10,188804.9863
13,2,184956.4547
13,3,180962.4186
13,4,179129.1773
13,5,178059.0463
13,6,178606.8746
13,7,179186.6711
13,8,179746.1173
13,9,180290.0574
13,10,180842.8873
14,2,194491.7836
14,3,191048.1372
14,4,189008.2765
14,5,188247.298
14,6,188817.1114
14,7,189536.3483
14,8,189932.8727
14,9,190479.074
14,10,191024.8397
15,2,184105.8807
15,3,180968.5946
15,4,179034.8533
15,5,178236.1186
15,6,178805.2433
15,7,179373.0669
15,8,179931.2773
15,9,180605.8594
15,10,181052.0963
16,2,182734.2041
16,3,179692.3144
16,4,177787.7865
16,5,176834.0418
16,6,177404.3401
16,7,177936.8539
16,8,178548.7017
16,9,179092.0095
16,10,179707.4015
17,2,187123.1971
17,3,183803.0788
17,4,182067.1249
17,5,181192.6152
17,6,181736.9009
17,7,182288.6608
17,8,182854.1045
17,9,183418.1637
17,10,183980.5629
18,2,187783.763
18,3,183966.4158
18,4,182269.5381
18,5,181459.0337
18,6,182030.212
18,7,182570.7895
18,8,183140.1711
18,9,183690.6056
18,10,184334.0296
19,2,188590.1457
19,3,184793.366
19,4,182739.5187
19,5,182018.2207
19,6,182557.797
19,7,183109.8267
19,8,183687.9836
19,9,184246.0776
19,10,184784.4178
20,2,182557.37
20,3,179494.0068
20,4,177888.0766
20,5,176882.2345
20,6,177440.367
20,7,178002.3317
20,8,178596.6306
20,9,179140.8396
20,10,179776.6934
21,2,190606.4329
21,3,187358.4564
21,4,185771.2173
21,5,184856.5291
21,6,185405.2696
21,7,186007.8884
21,8,186563.5
21,9,187131.586
21,10,187660.4218
