value,n,estimator
180027.25,2,BIC
179490.4746,3,BIC
178240.0696,4,BIC
178352.7998,5,BIC
178527.6242,6,BIC
178681.8803,7,BIC
179021.4441,8,BIC
179201.9663,9,BIC
179701.3187,10,BIC
179917.8984,11,BIC
179918.7396,12,BIC
180332.0534,13,BIC
180440.6764,14,BIC
180957.9379,15,BIC
181449.7397,16,BIC
181863.9218,17,BIC
182288.6481,18,BIC
182810.9377,19,BIC
183152.9015,20,BIC
183640.2023,21,BIC
184137.7082,22,BIC
184647.0149,23,BIC
185174.4308,24,BIC
185640.3282,25,BIC
186234.538,26,BIC
186740.632,27,BIC
187218.997,28,BIC
187713.9473,29,BIC
188269.7359,30,BIC
188772.3847,31,BIC
189291.8757,32,BIC
189798.6317,33,BIC
190268.6712,34,BIC
190843.0512,35,BIC
