"rep","k","BIC"
32,5,194138.3276
32,6,192544.3698
32,7,193133.9669
32,8,193734.8179
32,9,194328.0886
32,10,194878.1546
33,2,197054.8506
33,3,196478.8572
33,4,192589.5516
33,5,191542.8103
33,6,190122.6962
33,7,190693.4405
33,8,191295.6062
33,9,191849.3351
33,10,192400.5398
34,2,198963.6041
34,3,196608.2319
34,4,193179.7831
34,5,192405.4441
34,6,191077.5259
34,7,191683.8096
34,8,192237.4753
34,9,192823.8895
34,10,193350.9818
35,2,198832.7137
35,3,197864.8691
35,4,194629.877
35,5,193544.1601
35,6,192220.9215
35,7,192809.168
35,8,193382.0238
35,9,193948.6055
35,10,194495.7816
36,2,196510.1892
36,3,195643.7329
36,4,192607.8424
36,5,191877.5981
36,6,190551.5379
36,7,191122.3592
36,8,191710.6638
36,9,192276.7698
36,10,192822.4907
37,2,199602.0514
37,3,198764.5763
37,4,195642.8079
37,5,194551.0703
37,6,193164.0661
37,7,193761.2048
37,8,194339.1356
37,9,194914.9841
37,10,195457.9504
38,2,202920.2818
38,3,202654.32
38,4,198743.8172
38,5,197720.4489
38,6,196181.6593
38,7,196770.6266
38,8,197361.5266
38,9,197938.2757
38,10,198476.4495
39,2,196857.777
39,3,196518.8264
39,4,192900.4918
39,5,191970.8114
39,6,190688.0603
39,7,191268.0974
39,8,191844.4876
39,9,192409.8096
39,10,192969.2344
40,2,198077.3765
40,3,196953.4188
40,4,193704.5892
40,5,192848.5282
40,6,191264.3841
40,7,191847.6623
40,8,192444.9392
40,9,193021.5114
40,10,193549.1596
41,2,197634.1964
41,3,197123.938
41,4,193339.2755
41,5,192237.3955
41,6,190788.4136
41,7,191357.218
41,8,191952.6261
41,9,192509.5241
41,10,193081.5793
42,2,199807.2577
42,3,198829.615
42,4,195410.8903
42,5,194680.7024
42,6,193366.4565
42,7,193950.7136
42,8,194552.778
42,9,195125.3159
42,10,195692.025
43,2,195002.5457
43,3,194194.4477
43,4,190867.6905
43,5,190138.1092
43,6,188899.2633
43,7,189468.9222
43,8,190057.1442
43,9,190638.684
43,10,191256.0112
44,2,200819.2917
44,3,198841.3651
44,4,195672.6129
44,5,194670.6434
44,6,193298.1423
44,7,193891.4288
44,8,194471.2038
44,9,195023.9791
44,10,195598.85
45,2,197779.7644
45,3,195531.2539
45,4,192253.8938
45,5,191247.3485
45,6,189799.2407
45,7,190377.2458
45,8,190938.6011
45,9,191539.8092
45,10,192071.446
46,2,198328.2505
46,3,196649.2979
46,4,193432.2027
46,5,192500.0802
46,6,191202.2502
46,7,191783.7959
46,8,192373.2797
46,9,192923.1541
46,10,193478.3153
47,2,202406.9257
47,3,199735.2928
47,4,196259.1571
47,5,195483.0077
47,6,194019.1844
47,7,194587.4367
47,8,195181.4279
47,9,195777.2892
47,10,196329.7683
48,2,200735.8603
48,3,199808.6278
48,4,196131.5499
48,5,195444.0372
48,6,194031.7673
48,7,194625.0776
48,8,195207.3339
48,9,195786.0839
